Date,XGBoostResidual
2015-05-02,511.294723553167
2015-05-03,-1498.7541060014205
2015-05-04,-374.71147092754154
2015-05-05,-822.7454639856385
2015-05-06,-108.69729326356132
2015-05-07,-169.9788658374944
2015-05-08,61.16431716014924
2015-05-09,406.00419838595434
2015-05-10,219.14132690429688
2015-05-11,-17.336592559540506
2015-05-12,218.93879258654061
2015-05-13,1502.4787466162197
2015-05-14,1373.3326568603516
2015-05-15,1670.6803388338756
2015-05-16,90.91560518410174
2015-05-17,522.8171768188477
2015-05-18,19.756655076373317
2015-05-19,124.69590040814181
2015-05-20,221.4394432717909
2015-05-21,253.6740602228139
2015-05-22,153.33992016711042
2015-05-23,455.4753886543582
2015-05-24,885.4010162353516
2015-05-25,1474.4635564630682
2015-05-26,1278.4327557893077
2015-05-27,450.17100178671524
2015-05-28,-36.523393270039236
2015-05-29,395.3441399681194
2015-05-30,-408.1293811746777
2015-05-31,927.9752197265625
2015-06-01,379.216653675028
2015-06-02,-246.4099727613509
2015-06-03,449.885032119614
2015-06-04,-494.22163447627315
2015-06-05,454.3753323815863
2015-06-06,-457.14403946538675
2015-06-07,203.7118252840909
2015-06-08,341.4572053233604
2015-06-09,121.47858065617993
2015-06-10,-178.16307017236548
2015-06-11,-27.670033763663117
2015-06-12,-289.23935314568837
2015-06-13,1.0002281421818895
2015-06-14,766.9818954467773
2015-06-15,687.8688175879432
2015-06-16,556.73330726829
2015-06-17,172.54379760084717
2015-06-18,-176.19736424553972
2015-06-19,-84.1609154089991
2015-06-20,34.69426262956547
2015-06-21,380.8631896972656
2015-06-22,-31.84766830362152
2015-06-23,36.197451908241696
2015-06-24,41.45041183937388
2015-06-25,3.1370726881592237
2015-06-26,-74.49660348934978
2015-06-27,120.21082550185679
2015-06-28,363.40140533447266
2015-06-29,791.0111674082119
2015-06-30,733.716730749019
2015-07-01,-914.0896466858184
2015-07-02,-1422.4641363119952
2015-07-03,-591.198772546847
2015-07-04,-1880.0099988077873
2015-07-05,210.60102982954547
2015-07-06,180.3168761220826
2015-07-07,-564.0650533953518
2015-07-08,300.4828794743043
2015-07-09,366.1462172229157
2015-07-10,183.5329642441371
2015-07-11,-78.91035794569154
2015-07-12,970.2880020141602
2015-07-13,108.8071385578111
2015-07-14,306.60103078672506
2015-07-15,396.4260085003931
2015-07-16,86.6010267957509
2015-07-17,-355.2002747899337
2015-07-18,292.20347914648613
2015-07-19,1812.691780090332
2015-07-20,588.7630394783945
2015-07-21,165.69890880327662
2015-07-22,-20.643067283664646
2015-07-23,508.21409728949067
2015-07-24,90.28482700015442
2015-07-25,24.138257954641173
2015-07-26,1455.6497955322266
2015-07-27,287.6244143257244
2015-07-28,170.58392427209682
2015-07-29,-159.52414294137466
2015-07-30,-545.1305228864836
2015-07-31,179.13860124312106
