Model,RMSPE,MAE,RMSE
NaiveBaseline,0.21976737177833586,1197.9015520932737,1593.0128434857602
XGBoost,0.2360159814173879,1071.498779296875,1462.450511983226
LinearRegression,0.4751841445706101,2024.6530030783688,2769.2877037617463
