Store,ActualSales,MAE,RMSPE
842,1555382,6062.1678255208335,0.2991221120649243
909,795812,4587.657386654713,0.4419660276068793
192,999619,4195.366139322917,0.3147996818845784
817,1608518,4146.882131476152,0.2055041702333555
1114,1740693,4124.440995065789,0.19396846354794814
698,1305999,3914.835693359375,0.2310470434549558
1033,1100173,3324.2385639391446,0.23010005803404115
788,1397417,3253.3257606907896,0.18344384502439676
262,1956193,3230.370138650412,0.16866866981531886
251,1479462,3223.2824479166666,0.1749585051146889
108,958923,3200.2506184895833,0.2605349685316675
640,925343,3067.73900390625,0.2521821340977096
533,834377,3056.331041666667,0.27602251497763186
586,1179274,2991.0684375,0.20450210747969436
827,1199254,2871.864501953125,0.19848323245011143
467,1039728,2844.6989713541666,0.22402277996592554
513,1346447,2814.7426243832238,0.17196511179707064
279,775090,2769.86232421875,0.2649084023336945
35,861786,2751.5470597550675,0.23941256596361124
546,1131111,2727.103824013158,0.19489188125758605
903,896959,2722.03583984375,0.2451621109232842
831,976308,2679.6437760416666,0.21265223608377185
560,1117576,2678.2852461965463,0.1898524515659923
697,851232,2649.7771875,0.23463848078256486
587,836623,2589.94771484375,0.25079984878254313
739,825349,2582.052799479167,0.238529514309622
1063,347536,2536.368029142681,0.6041320854681655
527,847661,2515.903359375,0.23157659869180067
684,695474,2468.8772591145835,0.2713146200979974
578,867400,2457.990304129464,0.2915499277279289
971,604590,2445.900153882576,0.279182119341521
729,848140,2445.379856770833,0.2196248202657044
1073,721726,2439.1906770833334,0.25653505524495646
207,871144,2421.214535361842,0.21488195039890756
876,637784,2372.6497133316534,0.32639765215306876
853,742092,2369.6791276041668,0.2511559029970172
895,773095,2324.458971354167,0.2405475989369701
368,791900,2287.95625,0.2164356131257114
543,204244,2265.1500748697918,1.041437451822584
84,1018027,2241.39375,0.17097429341593026
380,1105723,2210.4841145833334,0.16185231559328742
336,1043369,2202.5984244791666,0.16946685584274812
316,787089,2165.63109375,0.2095551815590566
234,844062,2158.76822265625,0.19854114855512142
445,686673,2146.4865169270834,0.2645815569075754
531,394264,2106.34619140625,0.45134682565818235
768,1028988,2105.0670872738488,0.16330755029381097
709,790437,2067.0447548314146,0.2034960393091425
333,787760,2062.1236572265625,0.2113002163026472
211,1069445,2042.3242701480262,0.1676060118109415
431,767250,2033.7754622395832,0.20798765601369631
425,253818,2031.890400390625,0.7597414589662739
125,939199,2027.0878713507402,0.19254373744736453
756,1332328,2022.9528255208334,0.1329832066285046
60,690871,2015.6981715152137,0.24424588870410296
723,621735,2005.0080989583332,0.24348808364363067
358,788505,2003.85755859375,0.20010077798224693
320,1154045,2001.224853515625,0.1514612880717338
473,261865,1955.12990234375,0.6585664605033058
421,764905,1941.3208072060033,0.21153379531299013
945,333204,1938.2706684313323,0.48803145739511905
250,693766,1933.7282877604166,0.21194802569644586
388,792797,1927.2673502604166,0.1943052179817097
522,677201,1926.2718033854167,0.22603198689878715
422,339025,1906.5726703844573,0.47267001307354317
645,833945,1900.7633138020833,0.18711081731409898
972,257376,1898.742123252467,0.725635081483375
816,367308,1893.3486979166667,0.4764810666834097
963,852637,1890.0415360300165,0.20712126609502826
310,775739,1888.338344029018,0.5316331258592296
472,409868,1888.0214329769738,0.40200099286430163
233,758803,1886.7622721354167,0.19708760628089947
117,287133,1886.6497884114583,0.5815669080793265
411,749959,1885.89984375,0.19709253359723086
532,853695,1881.4488736979167,0.17732334766204452
412,735869,1875.674140625,0.21196934367340636
794,258456,1869.1999351099919,0.6582758900274981
809,748359,1860.96650390625,0.19351487308438634
332,280564,1855.6304674650494,0.6977212967805788
545,861703,1851.84388671875,0.16472756982191267
390,931101,1848.1489000822369,0.16121944912053604
974,929903,1837.6785807291667,0.1601624715331689
335,1263775,1836.307627918956,0.14488115567752616
938,738592,1836.1743549547698,0.19687207343614668
515,701518,1831.1890169270832,0.2071382715758679
